population,n_yes,n_no,mean_yes,mean_no,sd_yes,sd_no,median_yes,median_no,iqr_low_yes,iqr_high_yes,iqr_low_no,iqr_high_no,u_statistic,p_value,q_value,effect_size,welch_p,significant_raw,significant_adjusted
b_cell,993,975,9.797553,9.996320,3.322549,3.117653,9.432278,9.788395,7.296956,11.865893,7.809236,11.816011,508204.0,0.0557,0.1393,-0.049818,0.1712,false,false
cd8_t_cell,993,975,24.881932,24.943924,4.914481,4.417266,24.728022,24.603067,21.360795,28.014117,21.860594,27.861284,489999.0,0.6391,0.6391,-0.012212,0.7685,false,false
cd4_t_cell,993,975,30.537808,29.902262,5.207558,4.823865,30.220564,29.657607,27.010628,33.949779,26.494128,33.183108,452899.0,0.01334,0.06672,0.064427,0.005013,true,false
nk_cell,993,975,14.840944,15.073166,4.132055,3.767386,14.509282,14.799143,11.759866,17.298195,12.414378,17.561750,503629.0,0.1211,0.2018,-0.040368,0.1926,false,false
monocyte,993,975,19.941763,20.084328,4.642251,4.010924,19.609698,19.942333,16.711299,22.817982,17.199381,22.826239,501665.0,0.1632,0.2039,-0.036311,0.4658,false,false
